Molecule ChEMBL ID,Molecule Name,Molecular Weight,#RO5 Violations,AlogP,Smiles,IC50
CHEMBL4067999,,451.5,0,2.33,O=C(Nc1cc(Cn2c(=O)[nH]c(=O)c3ccccc32)cnc1F)[C@H]1CCN(CCC2CC2)C1,1
CHEMBL521686,OLAPARIB,434.47,0,2.35,O=C(c1cc(Cc2n[nH]c(=O)c3ccccc23)ccc1F)N1CCN(C(=O)C2CC2)CC1,1
CHEMBL3970252,,311.35,0,0.69,CC(C)(N)C(=O)N1CC2=NNC(=O)c3cccc4[nH]c(c2c34)C1,1
CHEMBL3137320,TALAZOPARIB,380.36,0,2.63,Cn1ncnc1[C@H]1c2n[nH]c(=O)c3cc(F)cc(c23)N[C@@H]1c1ccc(F)cc1,1
CHEMBL521686,OLAPARIB,434.47,0,2.35,O=C(c1cc(Cc2n[nH]c(=O)c3ccccc23)ccc1F)N1CCN(C(=O)C2CC2)CC1,1.01
CHEMBL3969742,,239.28,0,2.34,O=C1NN=C2CCCCc3[nH]c4cccc1c4c32,1.1
CHEMBL3969742,,239.28,0,2.34,O=C1NN=C2CCCCc3[nH]c4cccc1c4c32,1.1
CHEMBL3907218,,267.33,0,2.83,CC(C)C1CC2=NNC(=O)c3cccc4[nH]c(c2c34)C1,1.1
CHEMBL4871210,,599.68,2,2.37,NC(=O)c1cccc2cc(C(=O)N3CCN(Cc4cc5nc(-c6cnc(N)nc6)nc(N6CCOCC6)c5s4)CC3)oc12,1.19
CHEMBL521686,OLAPARIB,434.47,0,2.35,O=C(c1cc(Cc2n[nH]c(=O)c3ccccc23)ccc1F)N1CCN(C(=O)C2CC2)CC1,1.2
CHEMBL3978225,,240.27,0,1.05,O=c1[nH]nc2c3c(cccc13)NC1=C2CCNC1,1.2
CHEMBL5176874,,634.67,1,4.9,COc1ccc(NC(=O)c2ccc(NC(=O)N3CCN(C(=O)c4cc(Cc5n[nH]c(=O)c6ccccc56)ccc4F)CC3)cc2)cc1,1.2
CHEMBL5072662,,492.47,0,2.98,CC[C@@H]1CN(C(=O)c2cc(Cn3c(=O)[nH]c(=O)c4ccccc43)ccc2F)CCN1CC(F)(F)F,1.24
CHEMBL4755076,,429.5,0,3.49,N#Cc1ccc(N2CCN([C@H]3C=C(c4cc5c(N)cc(F)cc5c(=O)[nH]4)CC3)CC2)cc1,1.3
CHEMBL3910080,,257.27,0,2.34,CC1CC2=NNC(=O)c3cc(F)cc4[nH]c(c2c34)C1,1.3
CHEMBL3978989,,310.36,0,2,CC(C)(C)C(=O)N1CC2=NNC(=O)c3cccc4[nH]c(c2c34)C1,1.3
CHEMBL506871,VELIPARIB,244.3,0,1.26,C[C@]1(c2nc3c(C(N)=O)cccc3[nH]2)CCCN1,1.3
CHEMBL4868231,,583.61,2,1.9,NC(=O)c1cccc2cc(C(=O)N3CCN(Cc4cc5nc(-c6cnc(N)nc6)nc(N6CCOCC6)c5o4)CC3)oc12,1.34
CHEMBL5073404,,452.53,0,2.68,CC(C)CN1CCN(C(=O)c2cc(Cn3c(=O)[nH]c(=O)c4ccccc43)ccc2F)C[C@H]1C,1.49
CHEMBL3939375,,330.39,0,2.97,O=c1[nH]nc2c3c(cccc13)NC1=C2CCN(Cc2ccccc2)C1,1.5
CHEMBL1173055,RUCAPARIB,323.37,0,2.98,CNCc1ccc(-c2[nH]c3cc(F)cc4c3c2CCNC4=O)cc1,1.5
CHEMBL4747106,,411.51,0,3.35,N#Cc1ccc(N2CCN([C@H]3C=C(c4cc5c(N)cccc5c(=O)[nH]4)CC3)CC2)cc1,1.5
CHEMBL4519178,,483.41,0,2.67,NC(=O)c1cccc2c1O/C(=C\c1ccc(C(=O)N3CCn4c(nnc4C(F)(F)F)C3)cc1)C2=O,1.585
CHEMBL4518901,,363.33,0,1.59,COc1cc(-c2nn[nH]n2)ccc1/C=C1\Oc2c(C(N)=O)cccc2C1=O,1.585
CHEMBL3892363,,301.35,0,3.35,O=C1NN=C2CC(c3ccccc3)Cc3[nH]c4cccc1c4c32,1.6
CHEMBL4518901,,363.33,0,1.59,COc1cc(-c2nn[nH]n2)ccc1/C=C1\Oc2c(C(N)=O)cccc2C1=O,1.6
CHEMBL3915929,,239.28,0,2.2,CC1CC2=NNC(=O)c3cccc4[nH]c(c2c34)C1,1.7
CHEMBL521686,OLAPARIB,434.47,0,2.35,O=C(c1cc(Cc2n[nH]c(=O)c3ccccc23)ccc1F)N1CCN(C(=O)C2CC2)CC1,1.7
CHEMBL3900548,,319.34,0,3.48,O=C1NN=C2CC(c3ccccc3)Cc3[nH]c4cc(F)cc1c4c32,1.8
CHEMBL521686,OLAPARIB,434.47,0,2.35,O=C(c1cc(Cc2n[nH]c(=O)c3ccccc23)ccc1F)N1CCN(C(=O)C2CC2)CC1,1.87
