,id,smiles
16022,A044_B156,CNC([C@H](CNC(COCC(N1)=Nc(cccc2)c2C1=O)=O)NC(COc(cc1)ccc1F)=O)=O
18069,A049_B358,CNC([C@H](CNC(c(cc(-c1ccccc1)nc1NN2)c1C2=O)=O)NC(CN(C(C(CC1)(c2c1cccc2)N1)=O)C1=O)=O)=O
16205,A044_B339,CNC([C@H](CNC(COCC(N1)=Nc(cccc2)c2C1=O)=O)NC(C(C(N1C)=O)=CNC1=O)=O)=O
52820,A144_B054,CNC([C@H](CNC(c1cc(C(N)=O)cn1C)=O)NC(COc(cccc1)c1OC)=O)=O
47583,A129_B352,CNC([C@H](CNC(CN(CCCN1)C1=O)=O)NC(C(CC1)c(cccc2)c2C1=O)=O)=O
41494,A113_B167,CNC([C@H](CNC(C1=CC(C(CCC2)=O)=C2NC1=O)=O)NC(CCC(c(cc1)ccc1Cl)=O)=O)=O
6678,A019_B037,CNC([C@H](CNC(C(C1=N2)=CNN1c(cccc1)c1C2=O)=O)NC(CCc1ccco1)=O)=O
53473,A145_B338,CNC([C@H](CNC(C(N=C(C1CC1)N1)=CC1=O)=O)NC(c(cc(CC(N1)=O)c1c1)c1Cl)=O)=O
46722,A127_B229,CNC([C@H](CNC(CN(C=C(C(N)=O)C(N1)=O)C1=O)=O)NC(c1ccc(Cn2nnnc2)cc1)=O)=O
26318,A072_B120,CNC([C@H](CNC(c(cc1)ccc1C(Nc1ccccc1)=O)=O)NC(COc(cccc1)c1[N+]([O-])=O)=O)=O
23385,A064_B139,Cc(sc(C(NC[C@@H](C(NC)=O)NC(CCc1ncc(-c2ccccc2)o1)=O)=O)c1)c1S(N)(=O)=O
5711,A016_B177,CNC([C@H](CNC(C1(CC1)C(N)=O)=O)NC(Cc1c(C(F)(F)F)cccc1)=O)=O
19092,A052_B274,CCN(c(ccc(C(NC[C@@H](C(NC)=O)NC(c(cccn1)c1Oc1ccccc1)=O)=O)c1)c1NC1=O)C1=O
53377,A145_B242,CC1(C)C(C)(C)C1C(N[C@@H](CNC(C(N=C(C1CC1)N1)=CC1=O)=O)C(NC)=O)=O
1585,A005_B110,CNC([C@H](CNC(CCC(C(N1)=O)NC1=O)=O)NC(CCNC(N)=O)=O)=O
9906,A027_B313,Cc1noc(C)c1C(N[C@@H](CNC(CC(C(N1)=O)=C(C)N=C1N1CCCC1)=O)C(NC)=O)=O
41349,A113_B022,Cc1cc(CC(N[C@@H](CNC(C2=CC(C(CCC3)=O)=C3NC2=O)=O)C(NC)=O)=O)c(C)cc1
3639,A010_B319,CNC([C@H](CNC(c(cc1)ccc1NC(C1CC=CCC1)=O)=O)NC(C1(CCC1)c1ccccc1)=O)=O
2612,A008_B030,CNC([C@H](CNC(C1CN(CC(N)=O)CCC1)=O)NC(CN(C)C(c1ccccc1)=O)=O)=O
1716,A005_B241,CNC([C@H](CNC(CCC(C(N1)=O)NC1=O)=O)NC(C(CC(C1O)O)=CC1O)=O)=O
43552,A119_B011,CCN(c1nc(C(C)C)cc(C(NC[C@@H](C(NC)=O)NC(CC(C)C=C)=O)=O)c1C(N1)=O)C1=O
23049,A063_B172,CC(N1)=C(C)N=C(C(NC[C@@H](C(NC)=O)NC(CCN2c(cccc3)c3OCC2=O)=O)=O)C1=O
3633,A010_B313,Cc1noc(C)c1C(N[C@@H](CNC(c(cc1)ccc1NC(C1CC=CCC1)=O)=O)C(NC)=O)=O
30838,A084_B212,CNC([C@H](CNC(c(cc1)ccc1NC(N)=O)=O)NC(c(cc1)cc2c1OCCO2)=O)=O
54745,A149_B134,CNC([C@H](CNC(c1nc(C(N)=O)ccc1)=O)NC(CCc(cccc1)c1OC)=O)=O
24049,A066_B065,CC(C(CCCCCC(N[C@@H](CNC(C(N1)=CNC1=O)=O)C(NC)=O)=O)N1)NC1=O
38450,A105_B075,CNC([C@H](CNC(c(cc1)cc(NC(N2c3cccc4ccccc34)=O)c1C2=O)=O)NC(CCc1cc(OC)cc(OC)c1)=O)=O
15596,A043_B099,CNC([C@H](CNC(COc(cc1)ccc1C(N)=O)=O)NC(Cc(cc(cc1)[N+]([O-])=O)c1F)=O)=O
7733,A021_B354,Cc(n1nc2)c(CCC(NC[C@@H](C(NC)=O)NC(c(cc3)cc(CCC4)c3C4=O)=O)=O)c(C)nc1c2C(N)=O
34718,A095_B033,CNC([C@H](CNC(CC1Sc(ccc(Cl)c2)c2NC1=O)=O)NC(Cc(cc1)ccc1N(C)C)=O)=O
8908,A025_B053,CNC([C@H](CNC(Cn1ncc(S(N)(=O)=O)c1)=O)NC(CCc(cc1)cc(Cl)c1OC)=O)=O
51297,A140_B007,CNC([C@H](CNC(CC1N(CC(N2)=Nc(cccc3)c3C2=O)CCC1)=O)NC(CC1CCCCC1)=O)=O
18398,A050_B318,CC(C)(C)C(N[C@@H](CNC(c(cc1)cc(N2)c1N(C)CC2=O)=O)C(NC)=O)=O
25180,A069_B089,Cc1cc(C(NC[C@@H](C(NC)=O)NC(Cc2ccc(C(F)(F)F)cc2)=O)=O)nc(N=C(N2)O)c1C2=O
21075,A058_B043,CC(c(cc1)ccc1OCC(N[C@@H](CNC(CC1=C(C)N=C(c2ccncc2)NC1=O)=O)C(NC)=O)=O)=O
50106,A136_B292,Cc1nc(cccc2)c2n1CC(N[C@@H](CNC(c(cc1)ccc1N(CCN1)C1=O)=O)C(NC)=O)=O
54136,A147_B263,CNC([C@H](CNC(c1coc(C(N)=O)c1)=O)NC(c1ccco1)=O)=O
40146,A109_B295,CNC([C@H](CNC(c1cc(-c2ccco2)nc2c(C(N)=O)ncn12)=O)NC(c1ncc[nH]1)=O)=O
43948,A120_B038,CNC([C@H](CNC(c1c(C(NC(N2C)=O)=O)c2nc(C2CC2)c1)=O)NC(CCc(cccc1OC)c1OC)=O)=O
28326,A077_B283,Cc(c(OC)cc(C(N[C@@H](CNC(C1=C(c2ccccc2)C(c2ccccc2)=NNC1=O)=O)C(NC)=O)=O)c1)c1OC
28905,A079_B124,CNC([C@H](CNC(CN1Nc(cccc2)c2C1=O)=O)NC(COc1cc(OC)c(CO)cc1)=O)=O
6592,A018_B320,CC1(CC1)C(N[C@@H](CNC(c(cc1)ccc1S(N)(=O)=O)=O)C(NC)=O)=O
29699,A081_B180,CC(c1c(C)n(CCC(N[C@@H](CNC(c2cccc(NC(N)=O)c2)=O)C(NC)=O)=O)nc1C)=O
28334,A077_B291,CNC([C@H](CNC(C1=C(c2ccccc2)C(c2ccccc2)=NNC1=O)=O)NC(c(cc1)ccc1NC(N)=N)=O)=O
13098,A036_B184,CNC([C@H](CNC(CNc(cc1)ccc1C(N)=O)=O)NC(COc(cc1)cc(O2)c1C(CCCC1)=C1C2=O)=O)=O
28984,A079_B203,CNC([C@H](CNC(CN1Nc(cccc2)c2C1=O)=O)NC(c1cc([nH]cc2)c2cc1)=O)=O
44607,A121_B328,CC(NC(N1CCOCC1)=N1)=C(CCC(NC[C@@H](C(NC)=O)NC(CCC(c(cc2)cc(OC)c2OC)=O)=O)=O)C1=O
23409,A064_B163,Cc(sc(C(NC[C@@H](C(NC)=O)NC(Cc(ccc(Cl)c1)c1Cl)=O)=O)c1)c1S(N)(=O)=O
45718,A124_B332,CC(C)(C(N[C@@H](CNC(c(cc1)cc(CCC2)c1NC2=O)=O)C(NC)=O)=O)O
1355,A004_B249,CC(c1c(C)n(CC(N[C@@H](CNC(CC2Oc(cccc3)c3NC2=O)=O)C(NC)=O)=O)nc1C)=O
